Year,Mississippi.River.LD1,Kanopolis,Homme,Benbrook,Whitney,Grapevine,Belton,Lewisville,Pomme.De.Terre,Pomona,Salt.Creek.8...Wagon.Train,W..Kerr.Scott,Salt.Creek.9...Stagecoach,Canyon,Salt.Creek.13...Twin.Lakes,Salt.Creek.14...Pawnee,Bardwell,Sam.Rayburn,Milford,Somerville,Eau.Galle,Stillhouse.Hollow,Bowman.Haley,Melvern,AnchorReservoirandDam,FolsomLakeDamandPowerplant,LakeSherburneandDam,LakeTschidaandHeartButteDam,LewistonLakeDamandPowerplant,RuediReservoirandDam,SpringCreekReservoirandDebrisDam,StarvationReservoirandDam,WhiskeytownLakeandDam
2008,727.62,1471.23,1080.58,698.57,534.43,541.07,597.22,524.81,856.89,981.5,1295.48,1035.6,1279.74,909.21,1342.23,1245.35,425.89,164.75,1152.89,238.97,942.44,625.04,2751.73,1040.76,6401.03,430.78,4788.27,2060.52,1901.86,7765.34,744.45,5712.59,1209.63
2009,730.46,1467.34,1082.4,698.95,531.84,540.02,601.07,526.62,849.13,986.05,1288.88,1041.98,1271.71,899.47,1341.47,1244.64,433.69,164.06,1146.97,240.53,941.73,630.32,2759.8,1043.16,6411.81,462.88,4785.72,2082.73,1902.05,7765.75,751.94,5712.54,1209.56
2010,729.3,1468.73,1081.07,696.62,535.73,542.35,604.97,524.26,852.57,984.9,1291.14,1040.76,1272.72,911.18,1343.66,1245.69,430.39,165.13,1159.85,242.72,962.04,630.82,2756.07,1042.44,6411.39,463.12,4788,2068.9,1901.89,7766.13,762.21,5712.29,1210.98
2011,729.61,1468.27,1081.49,693.8,524.05,535.66,591.01,522.21,855.93,977.51,1289.49,1040.95,1272.59,907.94,1342.61,1245.51,421.54,156.78,1158.28,236.15,949.88,622.24,2758.14,1037.67,6411.45,464.53,4787.45,2073.04,1901.94,7765.78,733.59,5712.63,1209.6
2012,729.39,1464.26,1080.18,699.2,537.33,541.25,601.3,524.86,845.38,977.44,1290.4,1036.96,1273.44,904.54,1341.25,1244.4,426.94,164.34,1146.2,243.03,941.79,620.72,2751.1,1037.42,6374.7,462.1,4787.96,2064.88,1901.85,7753.34,755.26,5712.35,1209.29
2013,728.79,1467.91,1082.61,691.8,524.64,529.76,587.66,517.38,847.43,974.03,1290.07,1050.42,1275.26,901.7,1341.9,1243.94,418.82,162.75,1147.71,236.38,945.76,616.42,2756.36,1034.38,6365,442.89,4787.83,2069.97,1901.9,7759.09,735.97,5712.25,1209.27
2014,726.13,1468.95,1080.96,691.5,526.09,526,585.83,516.96,842.28,979.75,1289.6,1034.84,1272.9,901.42,1341.9,1245,420.94,164.75,1148.35,239.05,945.36,613.24,2756.29,1037.76,6394.14,425.17,4787.82,2070.88,1901.95,7765.35,760.17,5712.33,1209.42
2015,726.7,1467.95,1080.95,710.76,555.94,562.91,611.43,537.01,863.89,992.04,1294.7,1044.45,1278.8,927.68,1344.9,1246.1,440.64,173.91,1153.66,258.32,946.82,626.81,2753.7,1046.01,6412.99,425.87,4786.52,2066.53,1902,7765.29,757.6,5712.32,1209.49
2016,728.13,1471.95,1080.92,705.37,561.35,555.45,619.45,531.69,863.37,987.06,1290.69,1039.17,1273.86,920.01,1342.64,1242.91,434.33,170.78,1154.76,259.8,944.12,640.89,2751.9,1043.6,6411.25,453.73,4786.69,2064.18,1901.91,7765.63,764.85,5712.23,1211.06
2017,728.38,1473.39,1082,693.86,533.81,537.11,601.92,522.94,863.65,981.37,1290.94,1044.71,1274,910.35,1342.96,1245.47,421.84,167.31,1150.59,254.99,946.95,624.46,2752.35,1041.57,6414.57,464.12,4787.7,2066.06,1901.98,7765.71,761.17,5710.22,1211.08
2018,728.52,1482.83,1080.43,706.48,546.92,549.12,609.11,529.6,848.88,978.06,1291.64,1048.49,1271.3,914.03,1342.11,1245.06,437.45,170.16,1154.01,244.73,942.62,635.4,2755.47,1041.05,6411.71,464.16,4787.89,2067.46,1903.31,7755.99,739.41,5712.39,1209.41
2019,730.72,1496.13,1081.23,709.66,555.25,551.94,606.03,529.24,864.67,1001.8,1292.61,1062.26,1275.97,911.59,1345.27,1248.62,434.79,174.85,1174.74,253.31,954.53,634.57,2759.41,1055.6,6411.61,464.25,4787.68,2078.56,1901.89,7765.41,796.01,5712.13,1211.89
2020,729.47,1471.11,1081.1,706.61,538.92,550.06,597.2,529.84,850.48,979.01,1292.08,1051.64,1275.61,908.19,1342.43,1245.33,425.39,165.69,1152.76,238.47,953.76,625.29,2753.89,1039.53,6375.94,449.28,4786.23,2066.15,1901.95,7760.43,738.62,5712.44,1209.57
2021,727.4,1471.49,1079.89,708.13,546.34,546.35,603.82,528.28,852.35,993.14,1290.92,1035.84,1273.34,909.15,1342.29,1245.3,434.13,175.35,1146.12,244.93,942.05,625.17,2750.17,1046.71,6393.58,427.05,4785.67,2063.25,1901.81,7745.53,740.54,5712.36,1209.29
2022,729.99,1469.68,1083.4,690.99,530.96,537.7,591.72,524.3,854.08,982.14,1284.94,1037.69,1271.79,908.75,1341.15,1244.78,421.15,163.52,1145.44,239.58,947.64,620.05,2752.78,1041.66,6405.3,455.75,4787.94,2066.51,1901.88,7757.88,758.82,5709.61,1209.18
